year,cap_biomass,cap_fossil_brown_coal___lignite,cap_fossil_coal-derived_gas,cap_fossil_gas,cap_fossil_hard_coal,cap_fossil_oil,cap_hydro_pumped_storage,cap_hydro_water_reservoir,cap_nuclear,cap_other_renewables,cap_others,cap_solar_ac,cap_waste,cap_wind_onshore,ember_capacity_clean_gw,ember_capacity_fossil_gw,ember_capacity_gas_and_other_fossil_gw,ember_capacity_hydro_bioenergy_and_other_renewables_gw,ember_capacity_renewables_gw,ember_capacity_wind_and_solar_gw,ember_capacity_bioenergy_gw,ember_capacity_coal_gw,ember_capacity_gas_gw,ember_capacity_hydro_gw,ember_capacity_nuclear_gw,ember_capacity_other_fossil_gw,ember_capacity_other_renewables_gw,ember_capacity_solar_gw,ember_capacity_wind_gw,ember_electricity_demand_demand_twh,ember_electricity_demand_demand_per_capita_mwh,ember_electricity_generation_clean_pct,ember_electricity_generation_fossil_pct,ember_electricity_generation_gas_and_other_fossil_pct,ember_electricity_generation_hydro_bioenergy_and_other_renewables_pct,ember_electricity_generation_renewables_pct,ember_electricity_generation_wind_and_solar_pct,ember_electricity_generation_clean_twh,ember_electricity_generation_fossil_twh,ember_electricity_generation_gas_and_other_fossil_twh,ember_electricity_generation_hydro_bioenergy_and_other_renewables_twh,ember_electricity_generation_renewables_twh,ember_electricity_generation_wind_and_solar_twh,ember_electricity_generation_bioenergy_pct,ember_electricity_generation_coal_pct,ember_electricity_generation_gas_pct,ember_electricity_generation_hydro_pct,ember_electricity_generation_nuclear_pct,ember_electricity_generation_other_fossil_pct,ember_electricity_generation_other_renewables_pct,ember_electricity_generation_solar_pct,ember_electricity_generation_wind_pct,ember_electricity_generation_bioenergy_twh,ember_electricity_generation_coal_twh,ember_electricity_generation_gas_twh,ember_electricity_generation_hydro_twh,ember_electricity_generation_nuclear_twh,ember_electricity_generation_other_fossil_twh,ember_electricity_generation_other_renewables_twh,ember_electricity_generation_solar_twh,ember_electricity_generation_wind_twh,ember_electricity_generation_total_generation_twh,ember_electricity_imports_net_imports_twh,ember_power_sector_emissions_clean_mtco2,ember_power_sector_emissions_fossil_mtco2,ember_power_sector_emissions_gas_and_other_fossil_mtco2,ember_power_sector_emissions_hydro_bioenergy_and_other_renewables_mtco2,ember_power_sector_emissions_renewables_mtco2,ember_power_sector_emissions_wind_and_solar_mtco2,ember_power_sector_emissions_co2_intensity_gco2_kwh,ember_power_sector_emissions_bioenergy_mtco2,ember_power_sector_emissions_coal_mtco2,ember_power_sector_emissions_gas_mtco2,ember_power_sector_emissions_hydro_mtco2,ember_power_sector_emissions_nuclear_mtco2,ember_power_sector_emissions_other_fossil_mtco2,ember_power_sector_emissions_other_renewables_mtco2,ember_power_sector_emissions_solar_mtco2,ember_power_sector_emissions_wind_mtco2,ember_power_sector_emissions_total_emissions_mtco2,gas_eu_avg_usd_mmbtu,brent_avg_usd_bbl,eua_avg_eur_t,eua_max_eur_t,eua_min_eur_t,eua_p25_eur_t,eua_p75_eur_t,cz_da_elec_avg_eur_mwh,cz_da_elec_max_eur_mwh,cz_da_elec_min_eur_mwh,cz_da_elec_p10_eur_mwh,cz_da_elec_p90_eur_mwh,gen_hydro_pumped_storage_consumption_gwh,gen_cross_border_electricity_trading_gwh,gen_nuclear_gwh,gen_hydro_run-of-river_gwh,gen_biomass_gwh,gen_fossil_brown_coal___lignite_gwh,gen_fossil_hard_coal_gwh,gen_fossil_oil_gwh,gen_fossil_coal-derived_gas_gwh,gen_fossil_gas_gwh,gen_hydro_water_reservoir_gwh,gen_hydro_pumped_storage_gwh,gen_others_gwh,gen_other_renewables_gwh,gen_waste_gwh,gen_wind_onshore_gwh,gen_solar_gwh,gen_load_gwh,gen_residual_load_gwh,gen_renewable_share_of_load_gwh,gen_renewable_share_of_generation_gwh,ttf_avg_eur_mwh,ttf_max_eur_mwh,ttf_p25_eur_mwh,ttf_p75_eur_mwh
2015,0.35,8.33,0.38,1.23,1.2,0.0,1.17,0.65,4.04,0.5,0.0,2.07,0.0,0.28,8.49,10.16,1.73,1.86,4.2,2.34,0.75,8.43,1.7,1.09,4.29,0.03,0.02,2.06,0.28,69.98,6.65,43.95,56.05,6.18,7.98,11.41,3.43,36.25,46.24,5.1,6.58,9.41,2.83,5.81,49.87,2.76,2.17,32.54,3.42,0.0,2.74,0.69,4.79,41.14,2.28,1.79,26.84,2.82,0.0,2.26,0.57,82.49,-12.51,1.33,44.3,2.83,1.08,1.2,0.12,553.16,1.04,41.47,0.97,0.04,0.13,1.86,0.0,0.11,0.01,45.63,7.305000000000001,52.31654901960784,8.521383399209485,9.72,6.96,8.08,9.08,32.31917808219178,55.13,3.5,20.849999999999998,42.886,-1666.4443,-12951.6805,25263.9047,724.4641,2306.3057000000003,32234.508500000004,4909.652800000001,51.225199999999994,2007.5917,1789.3432999999998,1163.643,1243.2091,390.82130000000006,2508.0076,128.7882,596.0681000000001,2237.9035,63490.860700000005,60656.8951,133.0095,111.2856,,,,
2016,0.35,7.93,0.38,1.23,1.2,0.0,1.17,0.75,4.04,0.4,0.0,2.03,0.1,0.28,8.49,10.49,1.73,1.86,4.2,2.34,0.74,8.76,1.7,1.09,4.29,0.03,0.03,2.06,0.28,71.03,6.74,40.84,59.16,7.98,8.24,11.45,3.21,33.49,48.51,6.54,6.76,9.39,2.63,5.8,51.18,4.55,2.44,29.39,3.43,0.0,2.6,0.61,4.76,41.97,3.73,2.0,24.1,2.81,0.0,2.13,0.5,82.0,-10.97,1.31,45.75,3.44,1.08,1.19,0.11,573.9,1.03,42.31,1.59,0.05,0.12,1.85,0.0,0.1,0.01,47.06,4.353333333333333,43.638,5.919143968871596,8.74,4.38,5.27,6.56,31.15180327868853,62.49,0.96,19.785,44.66,-1568.5774,-10828.379200000001,22768.3885,823.3033,1877.8873999999998,33070.8867,5155.6908,60.905199999999994,2018.3732,3355.4412,1241.1625,1181.8055,960.3611000000001,2425.2227000000003,171.4741,484.90569999999997,2137.5361,65091.904299999995,62472.0277,122.9309,104.7108,,,,
2017,0.35,8.54,0.38,1.23,1.2,0.0,1.17,0.75,4.04,0.4,0.0,2.04,0.1,0.31,8.55,10.49,1.73,1.89,4.26,2.37,0.77,8.76,1.7,1.09,4.29,0.03,0.03,2.06,0.31,72.72,6.9,44.29,55.72,7.4,7.98,11.24,3.26,37.97,47.79,6.35,6.84,9.63,2.79,5.8,48.32,4.31,2.18,33.05,3.09,0.0,2.57,0.69,4.97,41.44,3.7,1.87,28.34,2.65,0.0,2.2,0.59,85.76,-13.04,1.36,45.15,3.31,1.11,1.22,0.11,542.33,1.07,41.84,1.57,0.04,0.14,1.74,0.0,0.1,0.01,46.51,5.744051331266768,54.1248046875,6.625294117647058,9.67,4.81,5.45,8.295,36.44728767123288,91.8,-16.07,23.416,51.218,-1531.3352000000002,-13171.722099999999,26727.0691,820.7996999999999,2037.5276,33242.120200000005,4282.4919,78.10329999999999,1787.7014,3321.1909000000005,906.6976,1152.8741,975.8098,2482.5629000000004,139.8204,562.9718999999999,2152.4467999999997,66134.7872,63419.5987,120.4397,101.33480000000002,19.745729247728985,21.729999542236328,19.01374959945679,20.51374912261963
2018,0.4,8.45,0.38,1.23,1.2,0.0,1.17,0.75,4.04,0.4,0.0,2.05,0.1,0.32,8.55,10.49,1.73,1.87,4.26,2.39,0.75,8.76,1.7,1.09,4.29,0.03,0.03,2.07,0.32,72.93,6.91,45.31,54.68,7.24,7.44,10.86,3.42,39.35,47.49,6.29,6.46,9.43,2.97,5.56,47.44,4.34,1.88,34.45,2.9,0.0,2.72,0.7,4.83,41.2,3.77,1.63,29.92,2.52,0.0,2.36,0.61,86.84,-13.91,1.34,44.91,3.26,1.08,1.2,0.12,532.59,1.04,41.65,1.6,0.04,0.14,1.66,0.0,0.11,0.01,46.25,7.916093863077275,71.335,18.551857707509882,29.37,9.3,15.78,22.44,46.030301369863004,82.77,-5.44,29.887999999999998,62.52000000000002,-1372.6391,-13633.3172,28228.502,744.0793999999999,2253.3935,33728.141800000005,3487.5933,51.091300000000004,1661.2608,3357.011,1000.7986000000001,1041.466,1007.1608,2388.2045,150.716,605.8605,2330.8525,66721.5581,63787.2977,123.81179999999999,101.93209999999999,22.263127520739793,29.2450008392334,19.33750057220459,24.440000534057617
2019,0.41,8.15,0.38,1.23,1.2,0.0,1.17,0.75,4.04,0.41,0.0,2.06,0.1,0.34,8.63,10.29,1.73,1.92,4.34,2.42,0.8,8.56,1.7,1.09,4.29,0.03,0.03,2.08,0.34,72.62,6.88,47.03,52.98,9.43,8.21,11.74,3.53,40.31,45.41,8.08,7.04,10.06,3.02,5.87,43.55,6.78,2.34,35.29,2.65,0.0,2.71,0.82,5.03,37.33,5.81,2.01,30.25,2.27,0.0,2.32,0.7,85.72,-13.1,1.41,41.75,3.96,1.14,1.26,0.12,503.5,1.09,37.79,2.47,0.05,0.15,1.49,0.0,0.11,0.01,43.16,4.454857500696317,64.30062256809339,27.844798387096777,33.44,21.34,26.475,29.1575,40.2118904109589,83.73,-3.84,29.324,49.980000000000004,-1507.968,-12652.020400000003,28575.71,846.6372,1956.1453000000001,31769.2205,2002.0025,52.3217,1502.4974,5373.6992,1081.5831,1149.3403999999998,983.7914000000001,2362.2295,186.31309999999996,685.0143,2261.8628,66147.454,63201.254400000005,123.09870000000001,103.4246,14.596210298084078,22.9950008392334,12.048750162124634,16.053749561309814
2020,0.41,7.7,0.38,1.23,1.2,0.0,1.17,0.75,4.04,0.41,0.0,2.05,0.1,0.34,8.69,9.8,1.75,1.94,4.4,2.46,0.82,8.05,1.72,1.09,4.29,0.03,0.03,2.12,0.34,69.95,6.63,50.4,49.59,10.89,9.17,12.9,3.73,40.38,39.72,8.72,7.35,10.34,2.99,6.5,38.7,8.58,2.67,37.5,2.31,0.0,2.86,0.87,5.21,31.0,6.87,2.14,30.04,1.85,0.0,2.29,0.7,80.1,-10.15,1.44,35.42,4.14,1.18,1.3,0.12,460.18,1.13,31.28,2.92,0.05,0.14,1.22,0.0,0.11,0.01,36.86,3.1782298160833338,41.95725490196079,27.9410931174089,37.6,16.93,25.03,31.545,33.62382513661202,80.57,-16.79,18.71,48.795,-1693.5876,-9756.197,28350.8803,1058.0376999999996,2329.2538,26396.3065,1694.6205,105.376,2149.7876,5411.014800000001,1033.4774,1298.7125,889.3892,2387.1495,189.59890000000001,685.9248,2160.0784,64290.06769999999,61444.063599999994,134.8925,116.2255,9.606719343087418,19.149999618530277,6.025000095367432,13.020000457763672
2021,0.41,7.25,0.38,1.24,1.2,0.0,1.17,0.75,4.04,0.41,0.0,2.05,0.1,0.34,8.78,9.25,1.75,1.97,4.49,2.52,0.83,7.5,1.72,1.11,4.29,0.03,0.03,2.18,0.34,72.58,6.89,49.45,50.56,9.7,9.31,12.72,3.41,41.37,42.29,8.11,7.79,10.64,2.85,6.43,40.86,8.74,2.88,36.73,0.96,0.0,2.69,0.72,5.38,34.18,7.31,2.41,30.73,0.8,0.0,2.25,0.6,83.66,-11.08,1.49,37.98,3.64,1.22,1.34,0.12,471.79,1.16,34.34,3.11,0.06,0.15,0.53,0.0,0.11,0.01,39.47,15.90736338475,70.85533596837944,62.249840000000006,100.47,38.48,50.9825,68.9575,100.6627397260274,422.85,-4.29,47.888,189.338,-1570.9941000000001,-11390.480099999999,29055.928700000004,1191.7567,2489.595,27852.1027,2551.2407000000003,24.84,2148.231,6083.3748000000005,1247.7497,1181.1827000000003,118.16959999999999,2351.9712999999997,185.19340000000003,610.8633000000001,2184.6036999999997,66639.84939999999,63844.3863,134.7097,116.67710000000001,47.65211101183816,180.2669982910156,20.195000648498535,73.47749900817871
2022,0.41,7.16,0.38,1.24,1.2,0.0,1.17,0.77,4.04,0.41,0.0,2.08,0.1,0.34,9.0,9.26,1.76,1.97,4.71,2.74,0.83,7.5,1.72,1.11,4.29,0.04,0.03,2.4,0.34,70.2,6.58,49.91,50.09,6.04,8.96,12.86,3.9,41.79,41.94,5.06,7.5,10.77,3.27,6.46,44.05,5.17,2.5,37.05,0.87,0.0,3.14,0.76,5.41,36.88,4.33,2.09,31.02,0.73,0.0,2.63,0.64,83.73,-13.53,1.5,39.39,2.32,1.22,1.35,0.13,488.36,1.17,37.07,1.84,0.05,0.15,0.48,0.0,0.12,0.01,40.89,37.51983452666666,100.93130952380952,85.5096,109.94,64.24,78.2025,92.435,247.4286301369863,709.18,-1.86,117.956,409.86199999999997,-1289.2881,-14321.258499999998,29318.675,993.6601999999999,2415.7582,30486.023900000004,2687.1152,31.6219,142.43809999999996,5296.2509,1081.0126,971.547,130.2481,2358.3427,185.00820000000002,641.3552,2368.2394,64429.8617,61420.268800000005,136.1289,112.713,133.33797232943226,339.1960144042969,94.09350204467773,164.79650115966797
2023,0.41,7.2,0.38,1.24,1.2,0.0,1.17,0.77,4.04,0.46,0.0,3.55,0.1,0.34,9.81,9.23,1.77,1.94,5.52,3.58,0.79,7.46,1.72,1.12,4.29,0.05,0.03,3.24,0.34,66.62,6.16,54.81,45.18,5.68,9.96,14.69,4.73,41.55,34.25,4.31,7.55,11.14,3.59,6.85,39.5,4.85,3.11,40.12,0.83,0.0,3.81,0.92,5.19,29.94,3.68,2.36,30.41,0.63,0.0,2.89,0.7,75.8,-9.18,1.48,32.07,1.97,1.18,1.33,0.15,442.61,1.12,30.1,1.56,0.06,0.15,0.41,0.0,0.14,0.01,33.55,12.883181243249998,82.49386454183266,92.45172,107.52,72.34,86.7425,97.4325,100.78819178082192,203.63,0.49,57.272,140.798,-1377.5105,-9189.408800000001,28715.9272,1071.1686000000002,2242.524,25134.795700000002,1773.8717000000001,85.288,181.60389999999998,3309.7888,1239.6518999999998,1050.3458999999998,660.6068,2364.486,236.1573,708.3298000000001,2780.3548999999994,60924.2419,57435.550299999995,151.9264,133.8931,41.29795219603763,74.302001953125,34.44149971008301,47.19149971008301
2024,0.41,7.24,0.38,1.24,1.2,0.0,1.17,0.77,4.04,0.46,0.0,4.42,0.1,0.37,10.61,9.31,1.85,1.98,6.32,4.34,0.83,7.46,1.77,1.12,4.29,0.08,0.03,3.98,0.36,66.15,6.16,57.68,42.32,5.9,11.04,16.89,5.85,42.0,30.81,4.29,8.04,12.3,4.26,7.39,36.42,5.21,3.65,40.79,0.69,0.0,4.93,0.92,5.38,26.52,3.79,2.66,29.7,0.5,0.0,3.59,0.67,72.81,-6.66,1.54,28.62,1.94,1.22,1.4,0.18,414.23,1.16,26.68,1.61,0.06,0.14,0.33,0.0,0.17,0.01,30.16,10.891140582583333,80.52185039370077,73.00935742971889,85.31,56.37,68.63,77.51,85.10734972677596,360.81,-2.76,48.56,121.485,-1190.0381,-4205.0857000000005,28041.261300000002,1031.876,2220.4781000000003,23044.5666,639.0151999999999,11.1531,104.34230000000001,3388.9286,1531.8846,929.3783000000001,610.6008,2388.0586999999996,200.8992,696.3661999999999,3905.3797999999997,60951.7478,56349.999200000006,169.43490000000003,155.5789,34.58822399902344,48.65499877929688,29.326749801635742,39.57075119018555
